Number of sequences in alignment file:	93
Neff:	10.765817241777807
Alignment sequence length:	1073
|Train : Update 34000. Negative ELBO : 22922166.000, BCE: 796.729, KLD_latent: 0.086, KLD_decoder_params_norm: 22921370.000, Time: 2394.03 |
|Train : Update 35000. Negative ELBO : 22512650.000, BCE: 796.606, KLD_latent: 0.346, KLD_decoder_params_norm: 22511854.000, Time: 2464.67 |
|Train : Update 36000. Negative ELBO : 22103216.000, BCE: 798.507, KLD_latent: 0.218, KLD_decoder_params_norm: 22102418.000, Time: 2535.50 |
|Train : Update 37000. Negative ELBO : 21693858.000, BCE: 797.798, KLD_latent: 0.396, KLD_decoder_params_norm: 21693060.000, Time: 2606.10 |
|Train : Update 38000. Negative ELBO : 21284560.000, BCE: 800.545, KLD_latent: 0.389, KLD_decoder_params_norm: 21283760.000, Time: 2676.68 |
|Train : Update 39000. Negative ELBO : 20875338.000, BCE: 796.395, KLD_latent: 0.170, KLD_decoder_params_norm: 20874542.000, Time: 2746.08 |
|Train : Update 40000. Negative ELBO : 20466236.000, BCE: 798.353, KLD_latent: 0.485, KLD_decoder_params_norm: 20465438.000, Time: 2816.06 |
|Train : Update 41000. Negative ELBO : 20057222.000, BCE: 798.087, KLD_latent: 0.421, KLD_decoder_params_norm: 20056424.000, Time: 2886.79 |
|Train : Update 42000. Negative ELBO : 19648332.000, BCE: 800.203, KLD_latent: 1.051, KLD_decoder_params_norm: 19647530.000, Time: 2956.48 |
|Train : Update 43000. Negative ELBO : 19239568.000, BCE: 799.606, KLD_latent: 1.299, KLD_decoder_params_norm: 19238766.000, Time: 3025.80 |
|Train : Update 44000. Negative ELBO : 18830918.000, BCE: 793.162, KLD_latent: 3.930, KLD_decoder_params_norm: 18830120.000, Time: 3095.32 |
|Train : Update 45000. Negative ELBO : 18422466.000, BCE: 791.396, KLD_latent: 4.591, KLD_decoder_params_norm: 18421670.000, Time: 3164.88 |
|Train : Update 46000. Negative ELBO : 18014150.000, BCE: 798.186, KLD_latent: 4.690, KLD_decoder_params_norm: 18013348.000, Time: 3235.17 |
|Train : Update 47000. Negative ELBO : 17606032.000, BCE: 796.251, KLD_latent: 4.696, KLD_decoder_params_norm: 17605232.000, Time: 3305.13 |
|Train : Update 48000. Negative ELBO : 17198126.000, BCE: 796.990, KLD_latent: 4.302, KLD_decoder_params_norm: 17197326.000, Time: 3374.91 |
|Train : Update 49000. Negative ELBO : 16790454.000, BCE: 793.227, KLD_latent: 4.415, KLD_decoder_params_norm: 16789656.000, Time: 3444.68 |
|Train : Update 50000. Negative ELBO : 16383045.000, BCE: 796.939, KLD_latent: 4.016, KLD_decoder_params_norm: 16382244.000, Time: 3515.72 |
|Train : Update 51000. Negative ELBO : 15975908.000, BCE: 798.387, KLD_latent: 3.391, KLD_decoder_params_norm: 15975107.000, Time: 3586.96 |
|Train : Update 52000. Negative ELBO : 15569105.000, BCE: 798.169, KLD_latent: 4.770, KLD_decoder_params_norm: 15568302.000, Time: 3656.82 |
|Train : Update 53000. Negative ELBO : 15162634.000, BCE: 797.763, KLD_latent: 5.185, KLD_decoder_params_norm: 15161831.000, Time: 3728.06 |
|Train : Update 54000. Negative ELBO : 14756574.000, BCE: 804.280, KLD_latent: 4.501, KLD_decoder_params_norm: 14755765.000, Time: 3799.30 |
|Train : Update 55000. Negative ELBO : 14351041.000, BCE: 803.354, KLD_latent: 5.871, KLD_decoder_params_norm: 14350232.000, Time: 3870.73 |
|Train : Update 56000. Negative ELBO : 13947491.000, BCE: 809.062, KLD_latent: 4.579, KLD_decoder_params_norm: 13946677.000, Time: 3941.74 |
|Train : Update 57000. Negative ELBO : 13544589.000, BCE: 809.240, KLD_latent: 7.574, KLD_decoder_params_norm: 13543772.000, Time: 4011.58 |
|Train : Update 58000. Negative ELBO : 13142267.000, BCE: 815.242, KLD_latent: 6.739, KLD_decoder_params_norm: 13141445.000, Time: 4082.01 |
|Train : Update 59000. Negative ELBO : 12740570.000, BCE: 816.496, KLD_latent: 9.668, KLD_decoder_params_norm: 12739744.000, Time: 4153.10 |
|Train : Update 60000. Negative ELBO : 12339511.000, BCE: 817.375, KLD_latent: 11.347, KLD_decoder_params_norm: 12338683.000, Time: 4222.98 |
|Train : Update 61000. Negative ELBO : 11938363.000, BCE: 823.326, KLD_latent: 12.330, KLD_decoder_params_norm: 11937528.000, Time: 4292.99 |
|Train : Update 62000. Negative ELBO : 11538066.000, BCE: 826.146, KLD_latent: 14.239, KLD_decoder_params_norm: 11537226.000, Time: 4363.01 |
|Train : Update 63000. Negative ELBO : 11138972.000, BCE: 818.259, KLD_latent: 17.849, KLD_decoder_params_norm: 11138136.000, Time: 4432.82 |
|Train : Update 64000. Negative ELBO : 10741464.000, BCE: 825.809, KLD_latent: 15.413, KLD_decoder_params_norm: 10740623.000, Time: 4502.56 |
|Train : Update 65000. Negative ELBO : 10345111.000, BCE: 835.583, KLD_latent: 17.201, KLD_decoder_params_norm: 10344258.000, Time: 4572.23 |
